Maharashtra,Mumbai,Tier1,4500000,120000,850000,4.5
Delhi,New Delhi,Tier1,3000000,95000,820000,4.2
Tamil Nadu,Chennai,Tier1,2800000,87000,780000,5.1
Karnataka,Bangalore,Tier1,3200000,90000,800000,5.3
West Bengal,Kolkata,Tier1,3100000,88000,790000,5.6
Gujarat,Ahmedabad,Tier1,2700000,85000,770000,4.8
Telangana,Hyderabad,Tier1,2600000,81000,760000,4.9
Uttar Pradesh,Lucknow,Tier2,2500000,75000,620000,7.2
Rajasthan,Jaipur,Tier2,2200000,68000,590000,6.8
Madhya Pradesh,Bhopal,Tier2,2000000,61000,550000,8.1
Bihar,Patna,Tier2,1800000,58000,530000,8.5
Jharkhand,Ranchi,Tier3,1300000,51000,470000,9
Odisha,Bhubaneswar,Tier2,1500000,54000,490000,7.5
Punjab,Ludhiana,Tier2,1600000,56000,500000,6.9
Haryana,Gurgaon,Tier2,1700000,57000,520000,5.6
Kerala,Kochi,Tier2,1450000,53000,480000,5.2
Assam,Guwahati,Tier3,1200000,49000,450000,8.8
Chhattisgarh,Raipur,Tier3,1100000,46000,430000,9.3
Uttarakhand,Dehradun,Tier3,1000000,44000,410000,7.9
Himachal Pradesh,Shimla,Tier3,950000,42000,400000,7.4
