Maharashtra,2025,7.8,5.2,94.5,4.2
Delhi,2025,8.1,5,95.2,4.5
Tamil Nadu,2025,7.5,5.4,93.8,4.1
Karnataka,2025,8.3,4.9,95,4.3
West Bengal,2025,7,5.3,92.4,4
Gujarat,2025,7.6,5.1,93,3.9
Telangana,2025,8,5,94.1,4.2
Uttar Pradesh,2025,6.2,5.6,89.5,3.9
Rajasthan,2025,5.9,5.8,90,3.8
Madhya Pradesh,2025,5.5,6,88,3.6
Bihar,2025,5.1,6.1,86.3,3.5
Jharkhand,2025,4.8,6.3,85.5,3.3
Odisha,2025,5.6,5.9,87.5,3.7
Punjab,2025,6.8,5.5,91,4
Haryana,2025,7.1,5.2,92,4.1
Kerala,2025,6.7,5.3,91.5,4.3
Assam,2025,4.9,6.4,84.5,3.2
Chhattisgarh,2025,4.5,6.5,83,3.1
Uttarakhand,2025,5.4,5.7,88.8,3.4
Himachal Pradesh,2025,5.2,5.8,89,3.5
