event_id,customer_id,invoice_date,total_due,payment_status,due_date
BILL_000001,CUST_000001,2024-02-05 11:46:00,56619,Paid,2024-03-06 11:46:00
BILL_000002,CUST_000001,2024-02-09 11:46:00,56621,Paid,2024-03-10 11:46:00
BILL_000003,CUST_000001,2024-02-08 11:46:00,55889,Paid,2024-03-09 11:46:00
BILL_000004,CUST_000002,2023-10-08 13:19:00,57808,Pending,2023-11-07 13:19:00
BILL_000005,CUST_000003,2024-02-11 23:43:00,272994,Paid,2024-03-12 23:43:00
BILL_000006,CUST_000003,2024-02-09 23:43:00,273395,Pending,2024-03-10 23:43:00
BILL_000007,CUST_000004,2023-10-14 03:43:00,169282,Paid,2023-11-13 03:43:00
BILL_000008,CUST_000005,2023-02-28 15:18:00,3863,Paid,2023-03-30 15:18:00
BILL_000009,CUST_000005,2023-02-26 15:18:00,4344,Paid,2023-03-28 15:18:00
BILL_000010,CUST_000006,2024-02-03 16:12:00,259525,Paid,2024-03-04 16:12:00
BILL_000011,CUST_000006,2024-01-31 16:12:00,259050,Paid,2024-03-01 16:12:00
BILL_000012,CUST_000007,2023-11-20 05:03:00,34282,Paid,2023-12-20 05:03:00
BILL_000013,CUST_000007,2023-11-24 05:03:00,34895,Paid,2023-12-24 05:03:00
BILL_000014,CUST_000008,2024-01-23 23:08:00,261269,Paid,2024-02-22 23:08:00
BILL_000015,CUST_000008,2024-01-24 23:08:00,260399,Pending,2024-02-23 23:08:00
BILL_000016,CUST_000009,2024-02-14 06:05:00,88333,Paid,2024-03-15 06:05:00
BILL_000017,CUST_000009,2024-02-12 06:05:00,87535,Paid,2024-03-13 06:05:00
BILL_000018,CUST_000009,2024-02-08 06:05:00,88216,Pending,2024-03-09 06:05:00
BILL_000019,CUST_000010,2023-10-17 17:56:00,92659,Paid,2023-11-16 17:56:00
BILL_000020,CUST_000010,2023-10-21 17:56:00,92449,Paid,2023-11-20 17:56:00
BILL_000021,CUST_000010,2023-10-19 17:56:00,92663,Paid,2023-11-18 17:56:00
BILL_000022,CUST_000011,2023-10-31 03:02:00,170748,Paid,2023-11-30 03:02:00
BILL_000023,CUST_000011,2023-10-25 03:02:00,170191,Paid,2023-11-24 03:02:00
BILL_000024,CUST_000011,2023-10-31 03:02:00,169929,Paid,2023-11-30 03:02:00
BILL_000025,CUST_000012,2023-08-07 00:59:00,73795,Paid,2023-09-06 00:59:00
BILL_000026,CUST_000012,2023-08-03 00:59:00,74393,Paid,2023-09-02 00:59:00
BILL_000027,CUST_000013,2023-10-23 01:52:00,62578,Paid,2023-11-22 01:52:00
BILL_000028,CUST_000013,2023-10-23 01:52:00,63183,Paid,2023-11-22 01:52:00
BILL_000029,CUST_000014,2023-10-06 00:12:00,412491,Paid,2023-11-05 00:12:00
BILL_000030,CUST_000014,2023-10-13 00:12:00,413187,Paid,2023-11-12 00:12:00
BILL_000031,CUST_000015,2024-01-05 18:16:00,278494,Paid,2024-02-04 18:16:00
BILL_000032,CUST_000015,2024-01-01 18:16:00,278721,Paid,2024-01-31 18:16:00
BILL_000033,CUST_000015,2024-01-04 18:16:00,277800,Paid,2024-02-03 18:16:00
BILL_000034,CUST_000016,2023-12-21 03:41:00,317159,Paid,2024-01-20 03:41:00
BILL_000035,CUST_000017,2023-12-10 01:05:00,69888,Paid,2024-01-09 01:05:00
BILL_000036,CUST_000017,2023-12-07 01:05:00,69825,Paid,2024-01-06 01:05:00
BILL_000037,CUST_000017,2023-12-13 01:05:00,69885,Overdue,2024-01-12 01:05:00
BILL_000038,CUST_000018,2023-08-12 04:16:00,3869,Paid,2023-09-11 04:16:00
