session_id,customer_id,session_date,session_duration_minutes,pages_viewed,page_type,device_type,bounce_rate,time_on_page_seconds,cart_additions,cart_abandonment,search_queries,support_chat_initiated,email_clicks,app_rating_given
SESS_00000001,CUST_001071,2023-09-05 00:38:00,51,7,Search,Tablet,0.55,4293.11,2,0,0,0,0,0
SESS_00000002,CUST_000353,2023-10-26 10:06:00,61,8,Product_Page,Desktop,0.63,5134.89,1,0,3,0,1,1
SESS_00000003,CUST_000346,2023-10-14 22:37:00,7,1,Search,Tablet,0.7,589.25,0,0,2,0,1,0
SESS_00000004,CUST_000640,2023-06-28 08:33:00,11,2,Product_Page,Mobile,0.16,925.96,1,0,0,0,0,0
SESS_00000005,CUST_000287,2023-08-13 15:57:00,15,5,Product_Page,Mobile,0.27,1262.68,0,0,1,1,3,0
SESS_00000006,CUST_000210,2023-04-06 10:33:00,20,6,Product_Page,Desktop,0.2,1683.57,2,0,4,1,0,0
SESS_00000007,CUST_001373,2024-01-29 17:58:00,34,6,Product_Page,Tablet,0.12,2862.07,0,0,3,0,0,0
SESS_00000008,CUST_000825,2023-04-25 08:00:00,40,5,Search,Desktop,0.6,3367.14,3,0,2,0,1,0
SESS_00000009,CUST_000214,2023-11-15 14:55:00,18,4,Cart,Mobile,0.13,1515.21,0,0,4,0,1,0
SESS_00000010,CUST_001885,2023-08-28 13:21:00,99,33,Home,Desktop,0.81,8333.68,3,0,1,0,0,0
SESS_00000011,CUST_001741,2024-01-29 04:19:00,27,3,Product_Page,Mobile,0.36,2272.82,2,0,4,0,0,0
SESS_00000012,CUST_001252,2023-07-25 16:51:00,23,2,Product_Page,Mobile,0.55,1936.11,0,0,4,0,0,0
SESS_00000013,CUST_000236,2023-07-31 18:11:00,9,1,Product_Page,Tablet,0.11,757.61,0,0,2,0,1,0
SESS_00000014,CUST_000760,2023-02-06 14:06:00,39,9,Search,Desktop,0.81,3282.96,1,0,0,0,2,0
SESS_00000015,CUST_001409,2023-12-03 04:40:00,78,19,Search,Desktop,0.33,6565.93,0,0,3,0,3,0
SESS_00000016,CUST_000672,2023-05-14 20:29:00,3,1,Product_Page,Mobile,0.11,252.54,0,0,2,0,0,1
SESS_00000017,CUST_001283,2024-03-03 10:00:00,88,44,Search,Desktop,0.37,7407.71,1,0,2,0,0,0
SESS_00000018,CUST_000726,2024-02-17 14:16:00,45,11,Home,Mobile,0.16,3788.03,0,0,2,0,0,0
SESS_00000019,CUST_001453,2023-09-27 01:31:00,28,5,Home,Mobile,0.76,2357.0,2,0,3,0,0,0
SESS_00000020,CUST_000640,2023-10-01 14:33:00,46,23,Cart,Desktop,0.15,3872.21,0,0,0,1,4,0
