order_id,customer_id,order_date,product_category,order_value,quantity,discount_amount,payment_method,delivery_days,order_status,rating,is_repeat_customer
TXN_00000001,CUST_000883,2023-01-28 14:17:00,Home & Living,23162,2,5440.89,Credit Card,5,Delivered,2.0,0
TXN_00000002,CUST_000758,2023-11-29 12:46:00,Fashion,6943,1,630.69,Credit Card,3,Delivered,4.0,0
TXN_00000003,CUST_001901,2023-05-31 06:25:00,Electronics,124447,2,16843.49,Credit Card,3,Delivered,4.0,0
TXN_00000004,CUST_000362,2023-09-29 19:31:00,Electronics,115338,2,8654.85,Debit Card,5,Delivered,3.0,0
TXN_00000005,CUST_001063,2023-12-15 01:41:00,Electronics,54969,1,9081.37,Credit Card,2,Delivered,4.0,0
TXN_00000006,CUST_000510,2023-04-23 03:03:00,Electronics,7183,1,1531.92,Wallet,2,Delivered,3.0,0
TXN_00000007,CUST_001834,2023-05-17 07:04:00,Electronics,12191,2,2165.01,UPI,3,Delivered,4.0,0
TXN_00000008,CUST_001090,2023-04-26 19:44:00,Electronics,228933,2,19499.16,UPI,5,Delivered,4.0,0
TXN_00000009,CUST_001467,2023-07-21 03:14:00,Electronics,28591,1,6495.91,Wallet,3,Delivered,5.0,0
TXN_00000010,CUST_001504,2023-12-21 08:31:00,Fashion,3446,1,852.32,UPI,5,Delivered,4.0,0
TXN_00000011,CUST_000422,2023-04-15 11:40:00,Fashion,8020,1,872.78,Credit Card,5,Delivered,4.0,0
TXN_00000012,CUST_000590,2023-05-28 23:00:00,Electronics,103536,1,22405.15,Debit Card,2,Delivered,2.0,0
TXN_00000013,CUST_000194,2023-12-25 19:30:00,Electronics,33575,1,4806.13,Debit Card,3,Delivered,5.0,0
TXN_00000014,CUST_001514,2023-12-19 07:10:00,Home & Living,9633,1,2168.16,Net Banking,5,Delivered,5.0,0
TXN_00000015,CUST_000646,2023-03-27 05:21:00,Electronics,33483,1,6142.08,UPI,2,Delivered,3.0,0
TXN_00000016,CUST_001843,2023-01-07 21:30:00,Electronics,126456,1,11784.69,Debit Card,5,Delivered,3.0,0
TXN_00000017,CUST_000877,2023-04-01 08:56:00,Electronics,129843,1,6788.81,Net Banking,2,Delivered,4.0,0
TXN_00000018,CUST_000158,2024-01-25 00:38:00,Electronics,193588,2,29209.8,Net Banking,5,Delivered,5.0,0
TXN_00000019,CUST_000722,2023-10-26 00:31:00,Electronics,119236,2,21526.04,Debit Card,2,Cancelled,,0
TXN_00000020,CUST_001789,2023-02-26 01:52:00,Electronics,117528,3,19258.66,Credit Card,2,Delivered,2.0,0
TXN_00000021,CUST_000036,2023-05-29 07:33:00,Electronics,62648,1,3816.3,UPI,3,Delivered,4.0,0
TXN_00000022,CUST_001031,2023-03-17 03:06:00,Fashion,18115,2,1333.37,Credit Card,3,Delivered,1.0,0
TXN_00000023,CUST_000624,2023-06-21 14:31:00,Fashion,8675,1,2116.55,UPI,2,Delivered,3.0,0
TXN_00000024,CUST_001505,2023-10-07 08:42:00,Fashion,13811,1,3062.02,Debit Card,2,Delivered,3.0,0
TXN_00000025,CUST_000997,2023-08-23 00:52:00,Electronics,82963,1,12034.98,Credit Card,5,Delivered,4.0,0
TXN_00000026,CUST_000723,2023-06-20 16:49:00,Fashion,3183,1,367.95,Credit Card,3,Delivered,5.0,0
TXN_00000027,CUST_001360,2024-03-07 19:30:00,Home & Living,29501,1,4210.46,COD,5,Delivered,4.0,0
TXN_00000028,CUST_000231,2023-09-23 23:40:00,Home & Living,55235,2,10395.09,Debit Card,3,Delivered,5.0,0
TXN_00000029,CUST_000043,2023-07-30 07:42:00,Fashion,2572,1,406.74,UPI,5,Delivered,5.0,0
TXN_00000030,CUST_000291,2023-01-16 07:36:00,Electronics,8947,1,1034.34,COD,7,Delivered,4.0,0
TXN_00000031,CUST_001518,2023-08-09 11:13:00,Electronics,171926,2,40673.73,COD,3,Delivered,5.0,0
TXN_00000032,CUST_001525,2023-07-13 20:06:00,Fashion,5977,1,376.11,Net Banking,5,Delivered,4.0,0
TXN_00000033,CUST_001978,2023-11-17 21:34:00,Electronics,91614,1,19592.64,Debit Card,2,Cancelled,,0
TXN_00000034,CUST_001842,2023-09-27 05:16:00,Electronics,106487,1,18576.98,Net Banking,2,Delivered,1.0,0
TXN_00000035,CUST_001865,2023-06-19 12:37:00,Home & Living,43204,1,9625.3,COD,7,Delivered,5.0,0
TXN_00000036,CUST_000855,2023-05-22 09:12:00,Fashion,10087,1,2306.99,Credit Card,3,Delivered,5.0,0
TXN_00000037,CUST_000085,2023-12-26 10:53:00,Fashion,14267,1,918.33,Debit Card,5,Cancelled,,0
TXN_00000038,CUST_001255,2024-02-12 14:36:00,Electronics,42946,1,9027.01,UPI,3,Delivered,3.0,0
TXN_00000039,CUST_001983,2023-06-27 09:07:00,Electronics,56532,1,6147.86,COD,3,Delivered,1.0,0
TXN_00000040,CUST_001986,2023-12-17 04:29:00,Electronics,63612,1,6103.03,UPI,7,Delivered,3.0,0
TXN_00000041,CUST_001395,2023-05-29 19:35:00,Home & Living,53104,2,12024.79,Credit Card,2,Delivered,4.0,0
TXN_00000042,CUST_001361,2023-09-07 09:04:00,Electronics,30599,1,3842.7,Credit Card,2,Delivered,5.0,0
TXN_00000043,CUST_001638,2023-08-21 01:13:00,Electronics,27693,1,5507.28,COD,5,Delivered,5.0,0
TXN_00000044,CUST_000580,2023-03-05 01:31:00,Electronics,35101,1,7634.35,Credit Card,3,Delivered,2.0,0
TXN_00000045,CUST_000627,2023-06-30 21:53:00,Fashion,8437,3,853.47,COD,2,Delivered,5.0,0
TXN_00000046,CUST_000002,2023-03-12 11:56:00,Fashion,9302,1,1118.68,COD,5,Delivered,5.0,0
TXN_00000047,CUST_000581,2023-09-15 21:49:00,Electronics,313011,2,42561.33,Credit Card,7,Delivered,3.0,0
TXN_00000048,CUST_001149,2023-02-14 22:17:00,Fashion,38887,3,2664.42,UPI,2,Delivered,4.0,0
TXN_00000049,CUST_000293,2023-04-11 13:37:00,Electronics,36736,1,7671.53,UPI,2,Delivered,4.0,0
TXN_00000050,CUST_001881,2023-04-23 01:30:00,Electronics,75025,2,15691.71,Credit Card,2,Delivered,5.0,0
TXN_00000051,CUST_001911,2024-02-20 21:40:00,Fashion,11709,3,2310.34,Net Banking,5,Delivered,3.0,0
TXN_00000052,CUST_000792,2023-02-20 08:58:00,Fashion,1833,1,397.69,Debit Card,7,Delivered,5.0,0
TXN_00000053,CUST_000619,2023-03-30 18:27:00,Fashion,30382,3,7248.83,Credit Card,5,Delivered,5.0,0
TXN_00000054,CUST_001391,2024-02-16 18:08:00,Electronics,98965,1,14630.4,Wallet,5,Delivered,3.0,0
TXN_00000055,CUST_001400,2023-05-09 04:26:00,Electronics,60292,1,10426.16,Net Banking,2,Cancelled,,0
TXN_00000056,CUST_001136,2023-06-06 02:19:00,Electronics,23156,1,3476.7,UPI,2,Delivered,4.0,0
TXN_00000057,CUST_001161,2023-08-25 17:11:00,Electronics,240552,2,29527.67,Debit Card,2,Delivered,5.0,0
TXN_00000058,CUST_000770,2024-03-02 13:06:00,Electronics,211809,2,38290.18,UPI,2,Delivered,3.0,0
