ticket_id,customer_id,issue_type,created_date,resolution_time_hours,status,priority
TKT_000001,CUST_000475,Delivery Delay,2023-02-01 12:59:00,12.0,Resolved,Low
TKT_000002,CUST_000475,Return Request,2023-08-18 19:38:00,93.0,Resolved,Low
TKT_000003,CUST_000337,General Inquiry,2024-02-23 22:07:00,7.0,Resolved,Low
TKT_000004,CUST_001182,Account Problem,2023-02-02 22:52:00,,In Progress,Low
TKT_000005,CUST_001182,Website Error,2023-09-15 23:34:00,,Open,Low
TKT_000006,CUST_000730,Refund Request,2023-02-14 08:21:00,107.0,Resolved,Low
TKT_000007,CUST_000805,Order Cancellation,2023-07-25 01:22:00,32.0,Closed,Low
TKT_000008,CUST_001517,Refund Request,2023-09-03 07:29:00,45.0,Resolved,Medium
TKT_000009,CUST_001017,Product Information,2024-01-26 03:32:00,,Open,Medium
TKT_000010,CUST_000676,Payment Issue,2023-04-03 20:16:00,7.0,Resolved,Medium
TKT_000011,CUST_001138,Product Defect,2024-03-10 10:51:00,70.0,Resolved,Low
TKT_000012,CUST_001138,Payment Issue,2023-07-11 22:15:00,21.0,Closed,Low
TKT_000013,CUST_000545,Product Defect,2023-01-05 12:40:00,88.0,Resolved,High
TKT_000014,CUST_001192,Refund Request,2023-12-16 23:06:00,83.0,Closed,Low
TKT_000015,CUST_000449,Account Problem,2023-09-01 22:06:00,36.0,Resolved,Medium
TKT_000016,CUST_000253,Product Defect,2023-12-19 05:56:00,97.0,Resolved,Low
TKT_000017,CUST_001691,Delivery Delay,2024-03-02 00:10:00,21.0,Resolved,Medium
TKT_000018,CUST_001197,Delivery Delay,2023-03-28 02:44:00,6.0,Resolved,Low
TKT_000019,CUST_001008,Return Request,2023-11-28 23:32:00,90.0,Resolved,Low
TKT_000020,CUST_001008,Billing Inquiry,2023-09-20 13:12:00,51.0,Closed,Low
TKT_000021,CUST_001444,Billing Inquiry,2023-06-12 14:52:00,67.0,Resolved,Medium
TKT_000022,CUST_001444,Return Request,2024-01-17 10:16:00,140.0,Closed,Low
TKT_000023,CUST_000579,Website Error,2023-04-02 19:45:00,98.0,Resolved,Low
TKT_000024,CUST_000508,Payment Issue,2023-02-02 22:42:00,,In Progress,Medium
TKT_000025,CUST_000786,Payment Issue,2024-02-09 10:46:00,,In Progress,Low
TKT_000026,CUST_000786,General Inquiry,2023-02-19 23:05:00,5.0,Closed,Low
TKT_000027,CUST_000315,General Inquiry,2024-02-14 23:58:00,,In Progress,Medium
TKT_000028,CUST_001021,Refund Request,2023-07-22 18:52:00,72.0,Resolved,Medium
TKT_000029,CUST_001632,Account Problem,2023-07-22 12:23:00,4.0,Resolved,Low
TKT_000030,CUST_001632,Billing Inquiry,2024-01-16 23:59:00,71.0,Resolved,Low
TKT_000031,CUST_001796,Account Problem,2023-01-18 01:58:00,,In Progress,Low
TKT_000032,CUST_000201,Website Error,2023-04-11 16:25:00,70.0,Closed,Medium
TKT_000033,CUST_001719,Product Defect,2023-07-28 16:18:00,165.0,Resolved,Low
TKT_000034,CUST_000527,General Inquiry,2024-01-17 23:27:00,2.0,Closed,Medium
TKT_000035,CUST_001874,Delivery Delay,2023-06-12 06:39:00,,Open,Low
TKT_000036,CUST_001874,Website Error,2023-01-24 19:00:00,167.0,Closed,Medium
TKT_000037,CUST_001874,Product Information,2024-01-22 08:59:00,,In Progress,High
TKT_000038,CUST_002000,Order Cancellation,2024-01-28 02:15:00,,In Progress,Low
TKT_000039,CUST_001647,Website Error,2023-12-15 20:37:00,131.0,Resolved,High
TKT_000040,CUST_001647,Order Cancellation,2024-01-29 10:57:00,111.0,Resolved,Medium
TKT_000041,CUST_000248,Return Request,2023-07-29 12:25:00,,In Progress,Medium
TKT_000042,CUST_001290,Product Information,2023-04-12 01:44:00,2.0,Resolved,Medium
TKT_000043,CUST_001753,Return Request,2023-03-25 10:16:00,,Open,Low
TKT_000044,CUST_001753,Order Cancellation,2023-08-28 06:06:00,138.0,Resolved,Low
TKT_000045,CUST_001283,Refund Request,2023-08-03 19:32:00,,Open,Low
TKT_000046,CUST_001006,Billing Inquiry,2023-06-10 03:47:00,43.0,Resolved,Low
TKT_000047,CUST_000357,Order Cancellation,2024-01-08 12:16:00,29.0,Resolved,Medium
TKT_000048,CUST_000300,Website Error,2023-12-24 12:11:00,42.0,Resolved,Low
TKT_000049,CUST_001859,Payment Issue,2023-01-17 08:34:00,68.0,Resolved,Low
TKT_000050,CUST_001859,Refund Request,2023-01-28 02:42:00,,Open,Low
TKT_000051,CUST_000307,Account Problem,2024-01-19 09:22:00,59.0,Resolved,Low
TKT_000052,CUST_000307,Payment Issue,2023-11-05 12:25:00,58.0,Resolved,Medium
TKT_000053,CUST_000307,Billing Inquiry,2023-05-31 17:36:00,65.0,Closed,Low
TKT_000054,CUST_001123,Product Defect,2023-04-13 20:00:00,71.0,Resolved,Low
TKT_000055,CUST_000496,General Inquiry,2023-04-17 02:52:00,21.0,Resolved,Medium
TKT_000056,CUST_000040,Billing Inquiry,2023-12-13 18:23:00,54.0,Closed,Medium
TKT_000057,CUST_000040,Technical Support,2023-07-18 05:25:00,145.0,Resolved,Medium
TKT_000058,CUST_000618,Website Error,2023-11-01 10:54:00,76.0,Resolved,Medium
TKT_000059,CUST_001054,Delivery Delay,2023-12-23 12:49:00,,In Progress,Low
TKT_000060,CUST_000860,Order Cancellation,2023-07-29 08:36:00,59.0,Resolved,Low
TKT_000061,CUST_001764,Order Cancellation,2023-03-03 18:30:00,113.0,Resolved,Medium
TKT_000062,CUST_000941,Order Cancellation,2024-01-08 16:33:00,30.0,Resolved,Low
TKT_000063,CUST_001581,General Inquiry,2023-12-27 17:07:00,7.0,Closed,Low
TKT_000064,CUST_001581,General Inquiry,2023-06-29 03:40:00,4.0,Closed,Low
TKT_000065,CUST_001085,Product Information,2023-04-22 07:39:00,20.0,Resolved,Low
TKT_000066,CUST_001085,Refund Request,2023-09-13 15:11:00,36.0,Resolved,Low
TKT_000067,CUST_001085,Order Cancellation,2023-10-21 08:04:00,,Open,Medium
TKT_000068,CUST_000297,Order Cancellation,2023-10-11 09:03:00,42.0,Resolved,Medium
TKT_000069,CUST_001802,Billing Inquiry,2024-03-14 11:30:00,28.0,Resolved,Medium
TKT_000070,CUST_001073,Website Error,2024-02-23 13:15:00,129.0,Resolved,High
TKT_000071,CUST_001073,Billing Inquiry,2023-02-10 19:48:00,,Open,Low
TKT_000072,CUST_001073,Billing Inquiry,2023-01-22 13:09:00,28.0,Resolved,Low
TKT_000073,CUST_001029,Delivery Delay,2024-02-02 12:00:00,14.0,Closed,High
TKT_000074,CUST_000687,Product Defect,2024-02-19 10:07:00,133.0,Resolved,Low
TKT_000075,CUST_000428,Return Request,2023-09-16 00:46:00,,In Progress,Medium
TKT_000076,CUST_000992,Return Request,2023-02-18 08:05:00,143.0,Resolved,Low
TKT_000077,CUST_000992,Payment Issue,2023-07-08 20:37:00,58.0,Resolved,Medium
TKT_000078,CUST_001286,Payment Issue,2023-03-04 20:46:00,58.0,Resolved,Medium
TKT_000079,CUST_001136,Delivery Delay,2023-05-15 01:16:00,16.0,Closed,Medium
TKT_000080,CUST_001809,Billing Inquiry,2023-10-26 17:10:00,7.0,Closed,Low
TKT_000081,CUST_001809,Return Request,2023-11-20 13:12:00,48.0,Resolved,Low
TKT_000082,CUST_001083,Order Cancellation,2023-06-18 21:03:00,147.0,Resolved,Low
TKT_000083,CUST_001299,Account Problem,2023-11-09 05:26:00,25.0,Closed,Medium
TKT_000084,CUST_001299,Product Defect,2023-01-06 21:28:00,68.0,Resolved,Low
TKT_000085,CUST_001299,Billing Inquiry,2023-02-08 03:12:00,70.0,Resolved,Low
TKT_000086,CUST_001539,Payment Issue,2023-08-25 03:49:00,61.0,Closed,Low
TKT_000087,CUST_000218,Technical Support,2023-01-14 16:14:00,,In Progress,Low
TKT_000088,CUST_001589,General Inquiry,2023-08-23 23:07:00,22.0,Resolved,Low
TKT_000089,CUST_001621,General Inquiry,2023-06-20 06:48:00,,In Progress,Low
TKT_000090,CUST_000611,Refund Request,2024-03-13 09:32:00,48.0,Closed,Medium
TKT_000091,CUST_000611,Billing Inquiry,2023-04-14 09:52:00,8.0,Resolved,Low
TKT_000092,CUST_000611,Return Request,2023-12-19 17:49:00,143.0,Resolved,Low
TKT_000093,CUST_001879,Billing Inquiry,2023-07-01 20:29:00,,In Progress,Low
TKT_000094,CUST_001422,Account Problem,2023-02-13 06:45:00,,Open,Low
TKT_000095,CUST_000821,Payment Issue,2023-11-16 11:22:00,,In Progress,Low
