event_id,customer_id,invoice_date,total_due,payment_status,due_date
BILL_000001,CUST_000001,2024-02-06 11:46:00,56197,Paid,2024-03-07 11:46:00
BILL_000002,CUST_000001,2024-02-07 11:46:00,56614,Paid,2024-03-08 11:46:00
BILL_000003,CUST_000001,2024-02-04 11:46:00,56318,Paid,2024-03-05 11:46:00
BILL_000004,CUST_000002,2023-10-08 13:19:00,28598,Paid,2023-11-07 13:19:00
BILL_000005,CUST_000002,2023-10-12 13:19:00,29210,Paid,2023-11-11 13:19:00
BILL_000006,CUST_000003,2024-02-05 23:43:00,273629,Paid,2024-03-06 23:43:00
BILL_000007,CUST_000003,2024-02-06 23:43:00,272760,Paid,2024-03-07 23:43:00
BILL_000008,CUST_000004,2023-10-17 03:43:00,56732,Paid,2023-11-16 03:43:00
BILL_000009,CUST_000004,2023-10-15 03:43:00,55934,Paid,2023-11-14 03:43:00
BILL_000010,CUST_000004,2023-10-11 03:43:00,56616,Paid,2023-11-10 03:43:00
BILL_000011,CUST_000005,2023-02-27 15:18:00,2804,Overdue,2023-03-29 15:18:00
BILL_000012,CUST_000005,2023-03-03 15:18:00,2594,Pending,2023-04-02 15:18:00
BILL_000013,CUST_000005,2023-03-01 15:18:00,2809,Overdue,2023-03-31 15:18:00
BILL_000014,CUST_000006,2024-02-06 16:12:00,173317,Paid,2024-03-07 16:12:00
BILL_000015,CUST_000006,2024-01-31 16:12:00,172760,Paid,2024-03-01 16:12:00
BILL_000016,CUST_000006,2024-02-06 16:12:00,172498,Paid,2024-03-07 16:12:00
BILL_000017,CUST_000007,2023-11-23 05:03:00,34289,Paid,2023-12-23 05:03:00
BILL_000018,CUST_000007,2023-11-19 05:03:00,34888,Overdue,2023-12-19 05:03:00
BILL_000019,CUST_000008,2024-01-29 23:08:00,260532,Paid,2024-02-28 23:08:00
BILL_000020,CUST_000008,2024-01-29 23:08:00,261136,Paid,2024-02-28 23:08:00
BILL_000021,CUST_000009,2024-02-08 06:05:00,131694,Pending,2024-03-09 06:05:00
BILL_000022,CUST_000009,2024-02-15 06:05:00,132390,Paid,2024-03-16 06:05:00
BILL_000023,CUST_000010,2023-10-21 17:56:00,92746,Paid,2023-11-20 17:56:00
BILL_000024,CUST_000010,2023-10-17 17:56:00,92973,Overdue,2023-11-16 17:56:00
BILL_000025,CUST_000010,2023-10-20 17:56:00,92052,Paid,2023-11-19 17:56:00
BILL_000026,CUST_000011,2023-10-26 03:02:00,510868,Paid,2023-11-25 03:02:00
BILL_000027,CUST_000012,2023-08-07 00:59:00,49418,Paid,2023-09-06 00:59:00
BILL_000028,CUST_000012,2023-08-04 00:59:00,49355,Pending,2023-09-03 00:59:00
BILL_000029,CUST_000012,2023-08-10 00:59:00,49415,Pending,2023-09-09 00:59:00
BILL_000030,CUST_000013,2023-10-21 01:52:00,62705,Paid,2023-11-20 01:52:00
BILL_000031,CUST_000013,2023-10-20 01:52:00,63056,Paid,2023-11-19 01:52:00
BILL_000032,CUST_000014,2023-10-07 00:12:00,274810,Paid,2023-11-06 00:12:00
BILL_000033,CUST_000014,2023-10-12 00:12:00,275113,Paid,2023-11-11 00:12:00
BILL_000034,CUST_000014,2023-10-07 00:12:00,275755,Paid,2023-11-06 00:12:00
BILL_000035,CUST_000015,2024-01-01 18:16:00,417672,Paid,2024-01-31 18:16:00
BILL_000036,CUST_000015,2024-01-02 18:16:00,417343,Paid,2024-02-01 18:16:00
BILL_000037,CUST_000016,2023-12-27 03:41:00,105517,Paid,2024-01-26 03:41:00
BILL_000038,CUST_000016,2023-12-22 03:41:00,105409,Pending,2024-01-21 03:41:00
BILL_000039,CUST_000016,2023-12-21 03:41:00,106233,Paid,2024-01-20 03:41:00
BILL_000040,CUST_000017,2023-12-07 01:05:00,69661,Overdue,2024-01-06 01:05:00
BILL_000041,CUST_000017,2023-12-09 01:05:00,69466,Paid,2024-01-08 01:05:00
BILL_000042,CUST_000017,2023-12-11 01:05:00,70471,Paid,2024-01-10 01:05:00
BILL_000043,CUST_000018,2023-08-14 04:16:00,8088,Paid,2023-09-13 04:16:00
BILL_000044,CUST_000019,2023-12-12 14:10:00,256047,Paid,2024-01-11 14:10:00
BILL_000045,CUST_000020,2024-01-19 18:53:00,122671,Paid,2024-02-18 18:53:00
BILL_000046,CUST_000021,2024-01-02 01:29:00,1146336,Paid,2024-02-01 01:29:00
BILL_000047,CUST_000022,2024-03-10 19:14:00,205779,Paid,2024-04-09 19:14:00
BILL_000048,CUST_000023,2023-12-21 06:28:00,128117,Paid,2024-01-20 06:28:00
BILL_000049,CUST_000023,2023-12-19 06:28:00,128374,Paid,2024-01-18 06:28:00
BILL_000050,CUST_000025,2024-03-15 16:57:00,259988,Paid,2024-04-14 16:57:00
BILL_000051,CUST_000025,2024-03-12 16:57:00,260754,Paid,2024-04-11 16:57:00
BILL_000052,CUST_000025,2024-03-09 16:57:00,260471,Overdue,2024-04-08 16:57:00
BILL_000053,CUST_000026,2024-02-16 19:16:00,615768,Paid,2024-03-17 19:16:00
BILL_000054,CUST_000027,2023-07-22 11:19:00,247175,Paid,2023-08-21 11:19:00
BILL_000055,CUST_000028,2024-02-14 09:15:00,55673,Paid,2024-03-15 09:15:00
BILL_000056,CUST_000028,2024-02-15 09:15:00,56383,Paid,2024-03-16 09:15:00
BILL_000057,CUST_000028,2024-02-11 09:15:00,55974,Pending,2024-03-12 09:15:00
BILL_000058,CUST_000029,2023-12-29 20:43:00,373199,Paid,2024-01-28 20:43:00
BILL_000059,CUST_000030,2024-02-07 21:24:00,31820,Paid,2024-03-08 21:24:00
BILL_000060,CUST_000030,2024-02-08 21:24:00,32385,Paid,2024-03-09 21:24:00
BILL_000061,CUST_000030,2024-02-06 21:24:00,31484,Paid,2024-03-07 21:24:00
BILL_000062,CUST_000031,2024-01-05 17:23:00,61479,Paid,2024-02-04 17:23:00
