campaign_id,impressions,clicks,conversions,revenue,roi,ctr,conversion_rate
CAMP_001,14879866,180690,4875,16542584,15.0,1.21,5.08
CAMP_002,22029183,641033,8726,47115314,26.99,2.91,2.68
CAMP_003,3316109,210791,7742,21105427,42.27,6.36,6.35
CAMP_004,8729629,481026,22497,331088349,374.4,5.51,4.68
CAMP_005,16733438,1215038,26654,114185736,282.12,7.26,2.19
CAMP_006,11601855,195426,4281,10899426,8.34,1.68,2.19
CAMP_007,13325277,342615,11142,150773544,152.72,2.57,3.25
CAMP_008,54913884,4199142,264472,3646539936,2273.39,7.65,6.3
CAMP_009,34123698,2383812,27196,268268143,206.1,6.99,1.73
CAMP_010,12104685,1319627,101763,545449680,304.9,10.9,7.71
CAMP_011,6825167,343082,27144,242938800,208.13,5.03,7.91
CAMP_012,12977843,404236,14675,42352050,137.78,3.11,3.63
CAMP_013,4453622,152720,2585,8034447,22.23,3.43,2.46
CAMP_014,23776548,1116269,53627,344392594,322.07,4.69,4.8
CAMP_015,5896035,198119,8316,90247597,180.79,3.36,6.63
CAMP_016,15086817,445071,32113,185902157,122.58,2.95,7.22
CAMP_017,35121672,2373460,56682,736640527,479.71,6.76,4.12
CAMP_018,13931476,491355,15684,39366840,25.95,3.53,3.19
CAMP_019,855009,33782,374,2173314,29.02,3.95,1.11
CAMP_020,2347689,56031,2595,13880655,23.24,2.39,4.63
CAMP_021,7745024,100945,1257,13050871,19.99,1.3,1.87
CAMP_022,16899530,499504,10220,74356404,40.72,2.96,2.63
CAMP_023,13834974,1081131,48057,561882444,351.13,7.81,4.45
CAMP_024,11733777,455808,13428,188850425,214.8,3.88,4.61
CAMP_025,18033954,821809,25176,182802936,504.43,4.56,3.06
