order_id,customer_id,order_date,product_category,order_value,quantity,discount_amount,payment_method,delivery_days,order_status,rating,is_repeat_customer
TXN_00000001,CUST_000883,2023-01-28 14:17:00,Home & Living,23162,2,1836.01,Credit Card,5,Delivered,4.0,0
TXN_00000002,CUST_000758,2023-11-29 12:46:00,Fashion,6943,1,674.37,Credit Card,2,Delivered,4.0,0
TXN_00000003,CUST_001901,2023-05-31 06:25:00,Electronics,124447,2,17250.6,Credit Card,3,Delivered,2.0,0
TXN_00000004,CUST_000362,2023-09-29 19:31:00,Electronics,115338,2,11498.43,Debit Card,5,Delivered,2.0,0
TXN_00000005,CUST_001063,2023-12-15 01:41:00,Electronics,54969,1,9205.44,Credit Card,7,Delivered,2.0,0
TXN_00000006,CUST_000510,2023-04-23 03:03:00,Electronics,7183,1,541.93,Wallet,3,Delivered,3.0,0
TXN_00000007,CUST_001834,2023-05-17 07:04:00,Electronics,12191,2,732.86,UPI,5,Delivered,4.0,0
TXN_00000008,CUST_001090,2023-04-26 19:44:00,Electronics,228933,2,36915.47,UPI,3,Delivered,4.0,0
TXN_00000009,CUST_001467,2023-07-21 03:14:00,Electronics,28591,1,6840.95,Wallet,5,Delivered,4.0,0
TXN_00000010,CUST_001504,2023-12-21 08:31:00,Fashion,3446,1,327.52,UPI,5,Delivered,3.0,0
TXN_00000011,CUST_000422,2023-04-15 11:40:00,Fashion,8020,1,926.76,Credit Card,2,Delivered,3.0,0
TXN_00000012,CUST_000590,2023-05-28 23:00:00,Electronics,103536,1,14228.87,Debit Card,2,Cancelled,,0
TXN_00000013,CUST_000194,2023-12-25 19:30:00,Electronics,33575,1,7221.93,Debit Card,2,Delivered,5.0,0
TXN_00000014,CUST_001514,2023-12-19 07:10:00,Home & Living,9633,1,2062.09,Net Banking,2,Delivered,2.0,0
TXN_00000015,CUST_000646,2023-03-27 05:21:00,Electronics,33483,1,2337.48,UPI,3,Delivered,3.0,0
TXN_00000016,CUST_001843,2023-01-07 21:30:00,Electronics,126456,1,20402.34,Debit Card,2,Delivered,4.0,0
TXN_00000017,CUST_000877,2023-04-01 08:56:00,Electronics,129843,1,19463.23,Net Banking,3,Delivered,4.0,0
TXN_00000018,CUST_000158,2024-01-25 00:38:00,Electronics,193588,2,25880.93,Net Banking,2,Delivered,4.0,0
TXN_00000019,CUST_000722,2023-10-26 00:31:00,Electronics,119236,2,21824.16,Debit Card,5,Delivered,5.0,0
TXN_00000020,CUST_001789,2023-02-26 01:52:00,Electronics,117528,3,15968.58,Credit Card,3,Delivered,3.0,0
TXN_00000021,CUST_000036,2023-05-29 07:33:00,Electronics,62648,1,12028.56,UPI,7,Delivered,1.0,0
TXN_00000022,CUST_001031,2023-03-17 03:06:00,Fashion,18115,2,1428.08,Credit Card,2,Delivered,5.0,0
TXN_00000023,CUST_000624,2023-06-21 14:31:00,Fashion,8675,1,1007.76,UPI,2,Cancelled,,0
TXN_00000024,CUST_001505,2023-10-07 08:42:00,Fashion,13811,1,1503.7,Debit Card,5,Delivered,3.0,0
TXN_00000025,CUST_000997,2023-08-23 00:52:00,Electronics,82963,1,4725.04,Credit Card,2,Delivered,4.0,0
TXN_00000026,CUST_000723,2023-06-20 16:49:00,Fashion,3183,1,504.11,Credit Card,3,Delivered,4.0,0
TXN_00000027,CUST_001360,2024-03-07 19:30:00,Home & Living,29501,1,3414.76,COD,5,Delivered,4.0,0
TXN_00000028,CUST_000231,2023-09-23 23:40:00,Home & Living,55235,2,7508.09,Debit Card,5,Delivered,4.0,0
TXN_00000029,CUST_000043,2023-07-30 07:42:00,Fashion,2572,1,328.5,UPI,3,Delivered,3.0,0
TXN_00000030,CUST_000291,2023-01-16 07:36:00,Electronics,8947,1,1682.86,COD,2,Cancelled,,0
TXN_00000031,CUST_001518,2023-08-09 11:13:00,Electronics,171926,2,31300.95,COD,3,Delivered,4.0,0
TXN_00000032,CUST_001525,2023-07-13 20:06:00,Fashion,5977,1,1289.75,Net Banking,5,Delivered,5.0,0
TXN_00000033,CUST_001978,2023-11-17 21:34:00,Electronics,91614,1,7488.88,Debit Card,5,Delivered,2.0,0
TXN_00000034,CUST_001842,2023-09-27 05:16:00,Electronics,106487,1,20240.73,Net Banking,2,Cancelled,,0
TXN_00000035,CUST_001865,2023-06-19 12:37:00,Home & Living,43204,1,3046.24,COD,2,Cancelled,,0
TXN_00000036,CUST_000855,2023-05-22 09:12:00,Fashion,10087,1,865.11,Credit Card,5,Delivered,3.0,0
TXN_00000037,CUST_000085,2023-12-26 10:53:00,Fashion,14267,1,2049.84,Debit Card,2,Delivered,4.0,0
TXN_00000038,CUST_001255,2024-02-12 14:36:00,Electronics,42946,1,2545.85,UPI,3,Delivered,3.0,0
TXN_00000039,CUST_001983,2023-06-27 09:07:00,Electronics,56532,1,4322.64,COD,3,Delivered,5.0,0
TXN_00000040,CUST_001986,2023-12-17 04:29:00,Electronics,63612,1,4401.68,UPI,3,Delivered,4.0,0
TXN_00000041,CUST_001395,2023-05-29 19:35:00,Home & Living,53104,2,12311.58,Credit Card,7,Delivered,4.0,0
TXN_00000042,CUST_001361,2023-09-07 09:04:00,Electronics,30599,1,5254.31,Credit Card,2,Delivered,3.0,0
TXN_00000043,CUST_001638,2023-08-21 01:13:00,Electronics,27693,1,3994.81,COD,5,Delivered,4.0,0
TXN_00000044,CUST_000580,2023-03-05 01:31:00,Electronics,35101,1,6527.87,Credit Card,2,Cancelled,,0
TXN_00000045,CUST_000627,2023-06-30 21:53:00,Fashion,8437,3,2005.38,COD,2,Delivered,2.0,0
TXN_00000046,CUST_000002,2023-03-12 11:56:00,Fashion,9302,1,611.03,COD,5,Delivered,3.0,0
TXN_00000047,CUST_000581,2023-09-15 21:49:00,Electronics,313011,2,18394.62,Credit Card,2,Delivered,5.0,0
TXN_00000048,CUST_001149,2023-02-14 22:17:00,Fashion,38887,3,7497.01,UPI,3,Delivered,4.0,0
TXN_00000049,CUST_000293,2023-04-11 13:37:00,Electronics,36736,1,6279.49,UPI,5,Delivered,2.0,0
TXN_00000050,CUST_001881,2023-04-23 01:30:00,Electronics,75025,2,16661.34,Credit Card,3,Delivered,5.0,0
TXN_00000051,CUST_001911,2024-02-20 21:40:00,Fashion,11709,3,2096.55,Net Banking,2,Delivered,5.0,0
TXN_00000052,CUST_000792,2023-02-20 08:58:00,Fashion,1833,1,444.75,Debit Card,3,Delivered,3.0,0
TXN_00000053,CUST_000619,2023-03-30 18:27:00,Fashion,30382,3,6707.06,Credit Card,3,Delivered,2.0,0
TXN_00000054,CUST_001391,2024-02-16 18:08:00,Electronics,98965,1,11761.01,Wallet,7,Delivered,4.0,0
TXN_00000055,CUST_001400,2023-05-09 04:26:00,Electronics,60292,1,10222.13,Net Banking,2,Delivered,2.0,0
TXN_00000056,CUST_001136,2023-06-06 02:19:00,Electronics,23156,1,4477.68,UPI,3,Delivered,1.0,0
TXN_00000057,CUST_001161,2023-08-25 17:11:00,Electronics,240552,2,15687.84,Debit Card,5,Delivered,4.0,0
TXN_00000058,CUST_000770,2024-03-02 13:06:00,Electronics,211809,2,41823.21,UPI,2,Delivered,2.0,0
TXN_00000059,CUST_000284,2023-12-22 10:32:00,Home & Living,21605,1,3591.22,Credit Card,2,Delivered,5.0,0
TXN_00000060,CUST_001915,2023-07-03 14:22:00,Home & Living,28128,1,5860.3,Net Banking,3,Delivered,5.0,0
TXN_00000061,CUST_000876,2023-07-30 14:01:00,Electronics,146039,1,12576.89,Credit Card,2,Delivered,3.0,0
TXN_00000062,CUST_001869,2024-01-28 13:05:00,Home & Living,25047,1,2179.98,Credit Card,7,Delivered,5.0,0
TXN_00000063,CUST_001548,2023-06-04 07:37:00,Electronics,17805,1,2881.58,Net Banking,2,Delivered,2.0,0
TXN_00000064,CUST_001049,2023-11-14 17:57:00,Electronics,108937,1,26994.13,UPI,3,Delivered,4.0,0
TXN_00000065,CUST_001159,2023-01-28 12:08:00,Fashion,5948,1,300.26,Credit Card,2,Delivered,4.0,0
TXN_00000066,CUST_000826,2023-08-25 16:29:00,Home & Living,74189,2,12376.96,Credit Card,5,Delivered,2.0,0
TXN_00000067,CUST_001719,2023-01-29 08:53:00,Fashion,3982,1,203.56,UPI,3,Delivered,4.0,0
TXN_00000068,CUST_001331,2023-11-01 03:52:00,Fashion,8875,1,1797.65,UPI,3,Delivered,2.0,0
TXN_00000069,CUST_000596,2023-12-20 10:55:00,Electronics,56643,1,8725.77,Credit Card,3,Delivered,5.0,0
TXN_00000070,CUST_000125,2023-10-27 21:32:00,Electronics,69748,1,9220.5,UPI,3,Cancelled,,0
TXN_00000071,CUST_001515,2023-12-26 06:33:00,Electronics,18389,1,1724.58,Net Banking,7,Delivered,4.0,0
TXN_00000072,CUST_000296,2023-09-11 04:14:00,Fashion,21511,2,4630.99,UPI,5,Delivered,4.0,0
TXN_00000073,CUST_001834,2024-03-12 04:19:00,Electronics,9840,1,917.26,Credit Card,2,Delivered,3.0,1
TXN_00000074,CUST_001287,2023-01-04 15:39:00,Electronics,17511,1,981.16,Wallet,2,Delivered,4.0,0
TXN_00000075,CUST_001409,2023-02-04 00:09:00,Electronics,124707,1,19083.69,Wallet,3,Delivered,5.0,0
TXN_00000076,CUST_001237,2023-09-24 03:15:00,Electronics,119577,1,7569.16,Debit Card,5,Delivered,2.0,0
TXN_00000077,CUST_000419,2023-01-13 16:28:00,Home & Living,20761,2,4279.91,Debit Card,2,Delivered,4.0,0
TXN_00000078,CUST_000801,2023-03-04 09:25:00,Electronics,30092,1,6934.67,Credit Card,5,Delivered,4.0,0
TXN_00000079,CUST_000991,2024-02-24 07:53:00,Electronics,44432,1,2584.06,Credit Card,2,Delivered,5.0,0
TXN_00000080,CUST_001737,2024-02-25 19:43:00,Home & Living,46728,1,8399.43,UPI,3,Delivered,2.0,0
TXN_00000081,CUST_000900,2023-11-12 03:27:00,Electronics,60110,1,7978.02,Credit Card,7,Delivered,5.0,0
TXN_00000082,CUST_000300,2023-04-05 04:52:00,Home & Living,27736,1,5519.51,Net Banking,2,Cancelled,,0
TXN_00000083,CUST_001525,2023-03-29 16:47:00,Home & Living,35474,1,4698.1,Debit Card,5,Delivered,4.0,1
TXN_00000084,CUST_001433,2023-09-01 15:18:00,Electronics,197759,2,38756.34,UPI,5,Cancelled,,0
TXN_00000085,CUST_000593,2023-10-29 15:23:00,Electronics,32569,1,6108.3,COD,2,Delivered,2.0,0
TXN_00000086,CUST_001368,2023-07-17 22:51:00,Electronics,118301,1,9506.32,Credit Card,3,Cancelled,,0
TXN_00000087,CUST_000220,2024-02-21 13:09:00,Home & Living,43289,1,3235.69,UPI,3,Delivered,4.0,0
TXN_00000088,CUST_000058,2023-03-03 18:24:00,Electronics,127283,1,21632.35,UPI,5,Delivered,5.0,0
TXN_00000089,CUST_000023,2023-01-18 20:41:00,Fashion,33993,3,3762.32,Net Banking,5,Delivered,4.0,0
