session_id,customer_id,device_type,session_start,session_end,pages_visited,session_duration_minutes
SESS_00000001,CUST_001071,Desktop,2023-09-05 00:38:00,2023-09-05 02:18:00,14,100
SESS_00000002,CUST_000353,Tablet,2023-10-26 10:06:00,2023-10-26 10:37:00,4,31
SESS_00000003,CUST_000346,Mobile,2023-10-14 22:37:00,2023-10-14 22:41:00,1,4
SESS_00000004,CUST_000640,Tablet,2023-06-28 08:33:00,2023-06-28 09:28:00,18,55
SESS_00000005,CUST_000774,Desktop,2023-03-13 14:30:00,2023-03-13 15:04:00,11,34
SESS_00000006,CUST_000210,Mobile,2023-04-06 10:33:00,2023-04-06 10:41:00,2,8
SESS_00000007,CUST_001373,Mobile,2024-01-29 17:58:00,2024-01-29 18:29:00,6,31
SESS_00000008,CUST_000825,Mobile,2023-04-25 08:00:00,2023-04-25 08:18:00,2,18
SESS_00000009,CUST_000214,Mobile,2023-11-15 14:55:00,2023-11-15 15:13:00,4,18
SESS_00000010,CUST_001885,Tablet,2023-08-28 13:21:00,2023-08-28 14:11:00,16,50
SESS_00000011,CUST_001741,Mobile,2024-01-29 04:19:00,2024-01-29 04:46:00,3,27
SESS_00000012,CUST_001252,Mobile,2023-07-25 16:51:00,2023-07-25 17:14:00,2,23
SESS_00000013,CUST_000236,Mobile,2023-07-31 18:11:00,2023-07-31 18:17:00,1,6
SESS_00000014,CUST_000760,Desktop,2023-02-06 14:06:00,2023-02-06 14:45:00,9,39
SESS_00000015,CUST_001409,Mobile,2023-12-03 04:40:00,2023-12-03 05:17:00,9,37
SESS_00000016,CUST_000672,Mobile,2023-05-14 20:29:00,2023-05-14 20:32:00,1,3
SESS_00000017,CUST_001283,Mobile,2024-03-03 10:00:00,2024-03-03 10:42:00,21,42
SESS_00000018,CUST_000726,Mobile,2024-02-17 14:16:00,2024-02-17 15:01:00,11,45
SESS_00000019,CUST_001453,Tablet,2023-09-27 01:31:00,2023-09-27 02:02:00,6,31
SESS_00000020,CUST_000640,Mobile,2023-10-01 14:33:00,2023-10-01 14:54:00,10,21
SESS_00000021,CUST_000463,Mobile,2023-10-07 21:15:00,2023-10-07 21:24:00,3,9
SESS_00000022,CUST_000935,Tablet,2023-08-12 01:31:00,2023-08-12 02:10:00,4,39
SESS_00000023,CUST_000482,Mobile,2023-04-11 11:38:00,2023-04-11 11:58:00,3,20
SESS_00000024,CUST_000362,Mobile,2023-11-23 04:58:00,2023-11-23 05:16:00,4,18
SESS_00000025,CUST_000260,Mobile,2023-05-27 17:34:00,2023-05-27 17:43:00,1,9
SESS_00000026,CUST_001788,Mobile,2023-01-08 21:12:00,2023-01-08 21:37:00,3,25
SESS_00000027,CUST_000509,Mobile,2023-06-08 03:31:00,2023-06-08 04:00:00,4,29
SESS_00000028,CUST_001700,Tablet,2023-06-30 09:26:00,2023-06-30 09:37:00,1,11
SESS_00000029,CUST_000537,Tablet,2023-02-20 03:41:00,2023-02-20 04:35:00,9,54
SESS_00000030,CUST_001344,Mobile,2023-02-25 01:41:00,2023-02-25 01:49:00,2,8
SESS_00000031,CUST_001380,Mobile,2024-02-02 14:55:00,2024-02-02 15:11:00,2,16
SESS_00000032,CUST_001313,Mobile,2023-12-05 21:56:00,2023-12-05 22:03:00,1,7
