transaction_id,customer_id,product_id,transaction_date,amount_spent,payment_method,product_category,quantity
TXN_00000001,CUST_000883,PROD_0044,2023-01-28 14:17:00,23162,Credit Card,Home & Living,2
TXN_00000002,CUST_000758,PROD_0104,2023-11-29 12:46:00,6943,Credit Card,Fashion,1
TXN_00000003,CUST_001901,PROD_0151,2023-05-31 06:25:00,124447,Credit Card,Electronics,2
TXN_00000004,CUST_000362,PROD_0008,2023-09-29 19:31:00,115338,Debit Card,Electronics,2
TXN_00000005,CUST_001063,PROD_0008,2023-12-15 01:41:00,54969,Credit Card,Electronics,1
TXN_00000006,CUST_000510,PROD_0195,2023-04-23 03:03:00,7183,Wallet,Electronics,1
TXN_00000007,CUST_001834,PROD_0080,2023-05-17 07:04:00,12191,UPI,Electronics,2
TXN_00000008,CUST_001090,PROD_0022,2023-04-26 19:44:00,228933,UPI,Electronics,2
TXN_00000009,CUST_001467,PROD_0001,2023-07-21 03:14:00,28591,Wallet,Electronics,1
TXN_00000010,CUST_001504,PROD_0028,2023-12-21 08:31:00,3446,UPI,Fashion,1
TXN_00000011,CUST_000422,PROD_0207,2023-04-15 11:40:00,8020,Credit Card,Fashion,1
TXN_00000012,CUST_000590,PROD_0217,2023-05-28 23:00:00,103536,Debit Card,Electronics,1
TXN_00000013,CUST_000194,PROD_0270,2023-12-25 19:30:00,33575,Debit Card,Electronics,1
TXN_00000014,CUST_001514,PROD_0042,2023-12-19 07:10:00,9633,Net Banking,Home & Living,1
TXN_00000015,CUST_000646,PROD_0292,2023-03-27 05:21:00,33483,UPI,Electronics,1
TXN_00000016,CUST_001843,PROD_0249,2023-01-07 21:30:00,126456,Debit Card,Electronics,1
TXN_00000017,CUST_000877,PROD_0300,2023-04-01 08:56:00,129843,Net Banking,Electronics,1
TXN_00000018,CUST_000158,PROD_0010,2024-01-25 00:38:00,193588,Net Banking,Electronics,2
TXN_00000019,CUST_000722,PROD_0087,2023-10-26 00:31:00,119236,Debit Card,Electronics,2
TXN_00000020,CUST_001789,PROD_0062,2023-02-26 01:52:00,117528,Credit Card,Electronics,3
TXN_00000021,CUST_000036,PROD_0226,2023-05-29 07:33:00,62648,UPI,Electronics,1
TXN_00000022,CUST_001031,PROD_0210,2023-03-17 03:06:00,18115,Credit Card,Fashion,2
TXN_00000023,CUST_000624,PROD_0064,2023-06-21 14:31:00,8675,UPI,Fashion,1
TXN_00000024,CUST_001505,PROD_0025,2023-10-07 08:42:00,13811,Debit Card,Fashion,1
TXN_00000025,CUST_000997,PROD_0224,2023-08-23 00:52:00,82963,Credit Card,Electronics,1
TXN_00000026,CUST_000723,PROD_0101,2023-06-20 16:49:00,3183,Credit Card,Fashion,1
TXN_00000027,CUST_001360,PROD_0160,2024-03-07 19:30:00,29501,COD,Home & Living,1
TXN_00000028,CUST_000231,PROD_0165,2023-09-23 23:40:00,55235,Debit Card,Home & Living,2
TXN_00000029,CUST_000043,PROD_0227,2023-07-30 07:42:00,2572,UPI,Fashion,1
TXN_00000030,CUST_000291,PROD_0294,2023-01-16 07:36:00,8947,COD,Electronics,1
TXN_00000031,CUST_001518,PROD_0081,2023-08-09 11:13:00,171926,COD,Electronics,2
TXN_00000032,CUST_001525,PROD_0232,2023-07-13 20:06:00,5977,Net Banking,Fashion,1
TXN_00000033,CUST_001978,PROD_0011,2023-11-17 21:34:00,91614,Debit Card,Electronics,1
TXN_00000034,CUST_001842,PROD_0090,2023-09-27 05:16:00,106487,Net Banking,Electronics,1
TXN_00000035,CUST_001865,PROD_0059,2023-06-19 12:37:00,43204,COD,Home & Living,1
TXN_00000036,CUST_000855,PROD_0207,2023-05-22 09:12:00,10087,Credit Card,Fashion,1
TXN_00000037,CUST_000085,PROD_0157,2023-12-26 10:53:00,14267,Debit Card,Fashion,1
TXN_00000038,CUST_001255,PROD_0211,2024-02-12 14:36:00,42946,UPI,Electronics,1
TXN_00000039,CUST_001983,PROD_0068,2023-06-27 09:07:00,56532,COD,Electronics,1
TXN_00000040,CUST_001986,PROD_0297,2023-12-17 04:29:00,63612,UPI,Electronics,1
TXN_00000041,CUST_001395,PROD_0165,2023-05-29 19:35:00,53104,Credit Card,Home & Living,2
TXN_00000042,CUST_001361,PROD_0263,2023-09-07 09:04:00,30599,Credit Card,Electronics,1
TXN_00000043,CUST_001638,PROD_0084,2023-08-21 01:13:00,27693,COD,Electronics,1
TXN_00000044,CUST_000580,PROD_0234,2023-03-05 01:31:00,35101,Credit Card,Electronics,1
TXN_00000045,CUST_000627,PROD_0241,2023-06-30 21:53:00,8437,COD,Fashion,3
TXN_00000046,CUST_000002,PROD_0033,2023-03-12 11:56:00,9302,COD,Fashion,1
TXN_00000047,CUST_000581,PROD_0296,2023-09-15 21:49:00,313011,Credit Card,Electronics,2
TXN_00000048,CUST_001149,PROD_0025,2023-02-14 22:17:00,38887,UPI,Fashion,3
TXN_00000049,CUST_000293,PROD_0234,2023-04-11 13:37:00,36736,UPI,Electronics,1
TXN_00000050,CUST_001881,PROD_0114,2023-04-23 01:30:00,75025,Credit Card,Electronics,2
TXN_00000051,CUST_001911,PROD_0122,2024-02-20 21:40:00,11709,Net Banking,Fashion,3
TXN_00000052,CUST_000792,PROD_0298,2023-02-20 08:58:00,1833,Debit Card,Fashion,1
TXN_00000053,CUST_000619,PROD_0082,2023-03-30 18:27:00,30382,Credit Card,Fashion,3
TXN_00000054,CUST_001391,PROD_0095,2024-02-16 18:08:00,98965,Wallet,Electronics,1
TXN_00000055,CUST_001400,PROD_0177,2023-05-09 04:26:00,60292,Net Banking,Electronics,1
TXN_00000056,CUST_001136,PROD_0278,2023-06-06 02:19:00,23156,UPI,Electronics,1
TXN_00000057,CUST_001161,PROD_0058,2023-08-25 17:11:00,240552,Debit Card,Electronics,2
TXN_00000058,CUST_000770,PROD_0067,2024-03-02 13:06:00,211809,UPI,Electronics,2
TXN_00000059,CUST_000284,PROD_0284,2023-12-22 10:32:00,21605,Credit Card,Home & Living,1
TXN_00000060,CUST_001915,PROD_0160,2023-07-03 14:22:00,28128,Net Banking,Home & Living,1
TXN_00000061,CUST_000876,PROD_0172,2023-07-30 14:01:00,146039,Credit Card,Electronics,1
TXN_00000062,CUST_001869,PROD_0056,2024-01-28 13:05:00,25047,Credit Card,Home & Living,1
TXN_00000063,CUST_001548,PROD_0079,2023-06-04 07:37:00,17805,Net Banking,Electronics,1
TXN_00000064,CUST_001049,PROD_0149,2023-11-14 17:57:00,108937,UPI,Electronics,1
TXN_00000065,CUST_001159,PROD_0065,2023-01-28 12:08:00,5948,Credit Card,Fashion,1
TXN_00000066,CUST_000826,PROD_0050,2023-08-25 16:29:00,74189,Credit Card,Home & Living,2
TXN_00000067,CUST_001719,PROD_0208,2023-01-29 08:53:00,3982,UPI,Fashion,1
TXN_00000068,CUST_001331,PROD_0210,2023-11-01 03:52:00,8875,UPI,Fashion,1
TXN_00000069,CUST_000596,PROD_0197,2023-12-20 10:55:00,56643,Credit Card,Electronics,1
TXN_00000070,CUST_000125,PROD_0209,2023-10-27 21:32:00,69748,UPI,Electronics,1
TXN_00000071,CUST_001515,PROD_0239,2023-12-26 06:33:00,18389,Net Banking,Electronics,1
TXN_00000072,CUST_000296,PROD_0194,2023-09-11 04:14:00,21511,UPI,Fashion,2
TXN_00000073,CUST_001834,PROD_0294,2024-03-12 04:19:00,9840,Credit Card,Electronics,1
TXN_00000074,CUST_001287,PROD_0179,2023-01-04 15:39:00,17511,Wallet,Electronics,1
TXN_00000075,CUST_001409,PROD_0016,2023-02-04 00:09:00,124707,Wallet,Electronics,1
TXN_00000076,CUST_001237,PROD_0163,2023-09-24 03:15:00,119577,Debit Card,Electronics,1
TXN_00000077,CUST_000419,PROD_0108,2023-01-13 16:28:00,20761,Debit Card,Home & Living,2
TXN_00000078,CUST_000801,PROD_0133,2023-03-04 09:25:00,30092,Credit Card,Electronics,1
TXN_00000079,CUST_000991,PROD_0074,2024-02-24 07:53:00,44432,Credit Card,Electronics,1
TXN_00000080,CUST_001737,PROD_0265,2024-02-25 19:43:00,46728,UPI,Home & Living,1
TXN_00000081,CUST_000900,PROD_0281,2023-11-12 03:27:00,60110,Credit Card,Electronics,1
TXN_00000082,CUST_000300,PROD_0160,2023-04-05 04:52:00,27736,Net Banking,Home & Living,1
TXN_00000083,CUST_001525,PROD_0045,2023-03-29 16:47:00,35474,Debit Card,Home & Living,1
